Va,Vb,Vc,Ia,Ib,Ic,fault_type,cascade_severity,sections_affected,blackout_risk
-0.5,477.7,-481.7,3937.7,3977.7,4200.7,LLL,4,4,1
3.0,476.9,-475.4,3841.3,4546.0,3955.8,LLL,4,4,1
0.3,95.0,-95.6,4918.6,4778.9,5173.8,LLLG,5,5,1
18.5,9483.8,-9405.7,496.7,499.0,518.6,NO,0,0,0
-10.9,2839.3,-9543.2,1992.2,1757.4,494.1,LL,2,2,0
-3.4,9567.6,-9570.9,482.3,540.0,512.2,NO,0,0,0
-3.8,9562.7,-9541.1,2569.9,510.9,517.2,LG,1,1,0
-29.4,2877.7,-9616.4,1979.1,1906.6,506.3,LL,2,2,0
-2.7,2875.1,-9613.6,2329.9,1987.7,510.0,LL,2,2,0
-1.3,9481.9,-9498.2,2403.6,485.3,491.9,LG,1,1,0
-11.9,2834.0,-9510.8,1890.5,1987.4,507.0,LL,2,2,0
6.3,2851.4,-9506.2,1992.5,1970.5,479.4,LL,2,2,0
3.1,957.3,-9588.4,3098.3,2559.8,502.0,LLG,3,3,0
-11.1,2868.0,-9592.8,1996.8,1918.8,486.7,LL,2,2,0
-1.6,9567.6,-9537.4,2688.9,487.0,488.9,LG,1,1,0
2.6,477.2,-472.4,3890.7,4207.3,3749.6,LLL,4,4,1
-20.6,2839.8,-9465.0,1860.5,2132.5,516.5,LL,2,2,0
0.9,953.5,-9535.1,3062.0,2547.0,497.5,LLG,3,3,0
-7.8,2847.3,-9426.5,1985.4,2009.4,485.6,LL,2,2,0
0.1,94.5,-95.5,5045.6,5424.8,5051.9,LLLG,5,5,1
45.4,9619.7,-9565.1,490.5,506.3,453.2,NO,0,0,0
21.3,2856.6,-9516.3,1986.5,2071.6,514.0,LL,2,2,0
1.4,9508.3,-9547.2,478.8,544.2,469.8,NO,0,0,0
-1.1,9496.0,-9456.2,2573.0,509.3,496.6,LG,1,1,0
-41.0,9593.9,-9578.9,495.3,511.6,499.4,NO,0,0,0
2.0,476.7,-476.3,3995.6,4053.9,3908.8,LLL,4,4,1
-0.0,95.0,-95.9,4940.2,4979.3,5093.8,LLLG,5,5,1
-2.8,473.6,-471.2,3741.2,4075.9,4078.7,LLL,4,4,1
-87.6,9525.5,-9510.4,501.9,514.1,495.7,NO,0,0,0
33.2,9513.6,-9537.0,510.3,492.2,501.0,NO,0,0,0
-1.2,475.4,-479.5,4012.2,4038.5,4085.2,LLL,4,4,1
3.1,954.6,-9473.1,2969.4,2486.1,471.7,LLG,3,3,0
0.1,9623.0,-9453.8,2506.2,505.2,518.9,LG,1,1,0
1.7,476.4,-473.6,4023.2,4173.9,4077.6,LLL,4,4,1
0.8,945.8,-9610.8,3094.0,2574.1,489.4,LLG,3,3,0
-0.2,956.5,-9506.2,3019.0,2516.6,496.2,LLG,3,3,0
0.5,95.8,-95.8,5267.9,4792.7,5203.8,LLLG,5,5,1
0.6,472.9,-477.6,3872.7,3833.4,4072.4,LLL,4,4,1
-10.4,952.7,-9606.0,2964.7,2245.4,488.8,LLG,3,3,0
2.1,477.9,-474.0,4123.2,4060.3,3942.7,LLL,4,4,1
0.2,94.9,-95.7,5152.3,4844.2,5123.4,LLLG,5,5,1
-6.2,9544.5,-9547.7,510.3,519.5,522.6,NO,0,0,0
-79.4,9556.9,-9519.6,528.9,481.3,487.9,NO,0,0,0
-4.5,477.8,-477.4,3901.6,3859.6,4132.0,LLL,4,4,1
-28.1,9516.9,-9511.8,497.0,459.4,508.7,NO,0,0,0
38.2,9496.5,-9543.3,493.0,509.9,495.9,NO,0,0,0
0.6,95.0,-94.3,5036.4,5015.3,4945.9,LLLG,5,5,1
8.6,2841.5,-9487.7,2070.5,2187.1,522.3,LL,2,2,0
-0.6,956.5,-9412.8,2991.2,2556.2,494.7,LLG,3,3,0
1.2,2874.1,-9595.8,2013.6,2123.5,496.7,LL,2,2,0
44.7,9500.3,-9551.8,499.1,530.2,485.8,NO,0,0,0
54.4,9618.9,-9532.7,478.4,511.1,485.7,NO,0,0,0
-0.3,95.7,-95.2,5059.4,5004.2,5271.9,LLLG,5,5,1
11.2,2845.1,-9514.6,2019.6,1957.4,487.3,LL,2,2,0
-1.9,9509.4,-9527.1,507.1,497.3,526.0,NO,0,0,0
-125.2,9599.6,-9412.5,476.6,505.0,481.2,NO,0,0,0
39.7,9491.3,-9541.1,510.0,526.8,500.5,NO,0,0,0
-42.8,9533.9,-9462.0,512.9,496.2,478.4,NO,0,0,0
-24.0,9565.4,-9532.3,494.0,504.2,501.9,NO,0,0,0
-5.1,954.6,-9597.0,3124.5,2446.1,505.6,LLG,3,3,0
-14.2,2861.3,-9604.4,2114.1,2112.6,494.8,LL,2,2,0
0.2,95.2,-95.4,4687.3,4876.7,4807.1,LLLG,5,5,1
5.3,478.1,-476.7,4008.1,3706.5,3917.8,LLL,4,4,1
1.0,94.9,-94.9,4738.9,4878.4,4706.6,LLLG,5,5,1
-4.9,9508.5,-9576.0,2706.9,535.0,505.1,LG,1,1,0
-47.7,9632.3,-9510.3,481.6,492.9,558.9,NO,0,0,0
-0.6,948.5,-9538.4,2988.7,2485.5,502.1,LLG,3,3,0
0.2,96.0,-95.5,4917.2,5206.1,4905.1,LLLG,5,5,1
0.8,95.5,-96.3,5116.3,4824.2,5269.5,LLLG,5,5,1
54.0,9507.1,-9522.5,497.9,500.1,469.7,NO,0,0,0
-73.9,9499.0,-9507.3,474.7,476.3,488.6,NO,0,0,0
-21.7,2833.6,-9566.2,1898.8,1925.9,503.4,LL,2,2,0
70.2,9514.9,-9573.7,501.0,510.7,490.8,NO,0,0,0
-8.3,9563.4,-9506.7,2681.9,507.9,472.0,LG,1,1,0
7.1,957.1,-9454.0,2860.3,2352.9,483.0,LLG,3,3,0
-25.0,9572.7,-9576.7,511.7,468.3,503.3,NO,0,0,0
-52.7,9548.2,-9528.8,482.6,495.7,503.4,NO,0,0,0
-2.5,956.3,-9535.2,3236.8,2381.0,526.5,LLG,3,3,0
-11.9,9521.5,-9592.1,2571.7,468.8,487.1,LG,1,1,0
-8.1,9514.0,-9498.0,487.3,523.9,520.7,NO,0,0,0
26.4,9542.8,-9520.3,487.6,518.9,507.6,NO,0,0,0
-40.3,2857.0,-9548.5,2031.2,1930.8,514.6,LL,2,2,0
0.2,96.2,-94.9,4729.9,5131.5,5236.9,LLLG,5,5,1
77.3,9548.5,-9482.5,524.5,491.0,510.2,NO,0,0,0
2.0,952.2,-9553.8,3090.0,2678.4,506.5,LLG,3,3,0
-10.6,2853.7,-9565.8,1927.7,2009.9,483.2,LL,2,2,0
6.0,963.6,-9498.1,3040.7,2562.7,508.3,LLG,3,3,0
-1.2,2874.0,-9512.9,1949.8,1974.8,528.1,LL,2,2,0
25.3,2865.9,-9527.9,2064.5,2084.9,493.5,LL,2,2,0
-0.6,96.0,-95.4,4803.6,5003.3,5222.0,LLLG,5,5,1
67.8,9490.2,-9616.9,490.1,514.5,461.2,NO,0,0,0
0.0,95.7,-95.0,4831.6,5195.5,5314.4,LLLG,5,5,1
4.3,9461.9,-9531.2,2498.5,537.9,501.6,LG,1,1,0
-35.1,9515.2,-9481.5,523.9,480.5,501.0,NO,0,0,0
-0.3,2858.8,-9567.1,1988.9,2250.4,513.8,LL,2,2,0
-8.0,956.0,-9520.8,3157.0,2430.0,494.2,LLG,3,3,0
-1.6,2860.7,-9590.6,1902.4,2012.6,467.8,LL,2,2,0
38.3,9567.7,-9550.5,489.0,489.3,485.0,NO,0,0,0
28.9,2859.0,-9538.8,1941.7,1930.2,505.8,LL,2,2,0
-16.4,9519.9,-9608.5,511.6,547.8,518.5,NO,0,0,0
-6.4,947.9,-9438.9,2947.5,2532.5,489.2,LLG,3,3,0
-29.6,2863.4,-9578.9,2104.3,2072.9,493.5,LL,2,2,0
-1.9,945.4,-9483.3,3036.5,2494.7,480.1,LLG,3,3,0
3.5,2799.2,-9500.1,1910.5,1927.6,500.6,LL,2,2,0
0.4,95.3,-95.1,5192.6,4969.2,4969.5,LLLG,5,5,1
5.9,2866.5,-9534.2,1902.1,1983.4,489.3,LL,2,2,0
71.1,9533.4,-9509.7,480.7,467.5,524.1,NO,0,0,0
-7.4,9643.1,-9546.4,2470.9,492.1,477.1,LG,1,1,0
-0.6,94.5,-95.3,5003.1,4822.8,4874.8,LLLG,5,5,1
-14.6,949.7,-9486.4,2886.6,2602.7,513.5,LLG,3,3,0
18.2,9565.6,-9521.3,515.0,494.9,483.3,NO,0,0,0
19.9,9566.0,-9501.2,487.5,494.6,494.5,NO,0,0,0
-0.2,479.0,-476.8,3992.7,4051.8,3932.5,LLL,4,4,1
-1.2,2848.7,-9602.4,2058.8,1999.9,485.5,LL,2,2,0
132.9,9547.7,-9465.8,498.7,486.5,488.9,NO,0,0,0
41.8,9500.4,-9463.6,518.7,494.5,541.1,NO,0,0,0
-30.5,9445.0,-9441.9,488.9,505.9,486.6,NO,0,0,0
2.6,9489.8,-9556.8,480.1,499.2,458.5,NO,0,0,0
-11.3,9447.5,-9534.7,493.2,522.3,510.2,NO,0,0,0
-0.5,478.3,-477.7,3928.2,3983.6,4093.2,LLL,4,4,1
0.5,94.2,-95.2,4851.0,4912.8,4861.7,LLLG,5,5,1
-0.5,957.1,-9590.3,3089.0,2386.0,488.7,LLG,3,3,0
2.9,482.1,-477.1,4079.5,3802.5,4271.3,LLL,4,4,1
9.6,9650.6,-9539.2,513.6,488.0,493.8,NO,0,0,0
-3.0,473.2,-473.5,4177.5,3864.4,4207.6,LLL,4,4,1
0.3,95.0,-94.5,4818.7,4999.0,4959.8,LLLG,5,5,1
3.4,950.5,-9500.9,3168.9,2619.9,480.7,LLG,3,3,0
-0.2,95.2,-94.9,5034.3,4917.1,4838.3,LLLG,5,5,1
-20.9,9551.7,-9553.7,506.0,476.9,519.9,NO,0,0,0
-64.5,9520.0,-9566.7,487.2,521.9,515.3,NO,0,0,0
-2.4,955.4,-9482.4,3225.7,2361.8,499.9,LLG,3,3,0
-2.7,956.6,-9497.6,2751.8,2358.8,493.6,LLG,3,3,0
-9.3,9496.9,-9492.7,2442.4,512.1,517.7,LG,1,1,0
-2.1,478.4,-475.4,3824.3,4226.4,3977.1,LLL,4,4,1
-1.4,474.0,-475.3,3581.5,3996.5,4177.3,LLL,4,4,1
5.1,2863.9,-9462.2,2001.4,2052.8,510.4,LL,2,2,0
69.3,9411.0,-9566.9,467.9,524.0,513.6,NO,0,0,0
2.0,952.3,-9541.3,2814.6,2614.7,472.6,LLG,3,3,0
22.2,9493.0,-9506.9,514.5,502.1,472.1,NO,0,0,0
-71.0,9522.7,-9444.2,495.8,495.0,495.1,NO,0,0,0
-3.8,474.6,-476.6,4011.0,3897.2,4046.0,LLL,4,4,1
-3.9,9504.9,-9479.8,522.1,484.4,511.2,NO,0,0,0
-6.4,954.6,-9532.1,3106.9,2503.2,478.1,LLG,3,3,0
-16.8,9441.0,-9501.1,462.2,513.2,483.9,NO,0,0,0
59.7,9533.7,-9550.4,497.7,523.8,506.6,NO,0,0,0
-5.3,475.8,-478.5,3911.8,3942.1,4028.2,LLL,4,4,1
0.5,96.0,-95.2,5007.8,5123.1,5341.6,LLLG,5,5,1
18.7,2839.8,-9645.6,2030.2,2038.5,489.9,LL,2,2,0
-51.7,9520.3,-9552.6,492.9,492.7,497.6,NO,0,0,0
2.7,475.1,-478.5,3799.1,4149.0,3762.1,LLL,4,4,1
-2.6,474.9,-477.8,3890.0,3929.6,3976.8,LLL,4,4,1
-0.7,94.8,-94.6,5007.6,5065.8,4939.0,LLLG,5,5,1
0.0,478.1,-475.0,4090.4,4139.9,4270.7,LLL,4,4,1
17.7,9534.5,-9696.0,549.8,490.3,505.6,NO,0,0,0
-12.5,2844.1,-9489.9,1932.5,1959.1,504.3,LL,2,2,0
1.6,957.8,-9489.9,2807.0,2583.1,541.9,LLG,3,3,0
-74.1,9610.0,-9467.9,513.2,486.0,478.1,NO,0,0,0
-52.4,9666.7,-9537.1,476.1,488.2,482.5,NO,0,0,0
-1.7,474.8,-477.5,3763.7,3722.9,3986.0,LLL,4,4,1
86.0,9533.0,-9499.1,533.1,488.3,479.0,NO,0,0,0
13.3,2854.2,-9490.1,1908.5,1947.2,527.6,LL,2,2,0
-1.9,2849.7,-9639.3,2104.8,2001.2,505.1,LL,2,2,0
-39.9,9551.5,-9475.2,521.9,504.3,525.1,NO,0,0,0
0.8,477.6,-475.5,3901.0,3986.2,3858.3,LLL,4,4,1
6.4,2866.0,-9512.8,1960.9,1928.3,487.3,LL,2,2,0
-0.1,94.8,-96.1,5172.0,4804.1,5041.4,LLLG,5,5,1
-3.2,478.1,-472.5,4311.7,3999.6,3787.3,LLL,4,4,1
0.1,951.8,-9507.3,3122.3,2476.0,501.4,LLG,3,3,0
19.4,9539.3,-9556.4,485.6,511.6,469.6,NO,0,0,0
-37.1,9485.2,-9480.6,508.5,499.3,518.0,NO,0,0,0
42.8,9474.1,-9548.1,508.4,489.0,504.1,NO,0,0,0
-5.9,955.5,-9595.4,2874.6,2577.3,498.3,LLG,3,3,0
0.6,474.2,-471.5,4224.3,3866.7,3851.0,LLL,4,4,1
-1.5,471.6,-480.6,3876.9,3799.5,4442.7,LLL,4,4,1
58.9,9561.8,-9439.5,540.6,481.8,496.0,NO,0,0,0
-64.4,9565.7,-9561.4,501.8,497.7,510.8,NO,0,0,0
1.3,95.6,-94.9,5537.2,5057.6,5012.6,LLLG,5,5,1
1.5,950.8,-9454.4,3121.8,2460.9,525.3,LLG,3,3,0
2.7,960.3,-9530.1,3091.9,2452.4,497.4,LLG,3,3,0
27.8,9477.9,-9497.2,516.2,517.6,525.5,NO,0,0,0
0.2,94.5,-95.4,5289.2,5000.3,4831.5,LLLG,5,5,1
7.5,2835.2,-9481.5,2031.2,2098.7,493.7,LL,2,2,0
-106.3,9472.5,-9504.3,510.8,494.5,487.6,NO,0,0,0
-11.8,2868.8,-9562.5,1906.0,1903.6,518.6,LL,2,2,0
-32.2,2851.6,-9557.6,2035.9,2084.2,478.6,LL,2,2,0
-3.0,9407.0,-9515.7,2431.9,525.5,500.3,LG,1,1,0
-1.3,477.2,-476.8,3928.2,3970.3,3870.5,LLL,4,4,1
0.2,95.7,-94.7,4862.1,5081.2,5033.2,LLLG,5,5,1
1.3,476.7,-473.6,4018.4,4053.7,4285.0,LLL,4,4,1
5.0,477.3,-476.2,4079.2,4082.4,3929.6,LLL,4,4,1
15.9,9523.0,-9463.2,535.3,502.6,511.7,NO,0,0,0
1.6,9555.1,-9530.8,506.1,498.7,509.6,NO,0,0,0
-1.5,955.2,-9509.6,3013.9,2390.2,519.1,LLG,3,3,0
0.8,475.6,-474.1,4019.5,3895.6,4027.2,LLL,4,4,1
2.6,479.1,-476.7,4106.3,4181.5,4044.7,LLL,4,4,1
-3.2,9560.6,-9524.3,2367.4,489.1,530.2,LG,1,1,0
0.1,95.3,-94.9,5066.7,4575.5,4888.4,LLLG,5,5,1
2.4,950.8,-9532.2,2977.5,2399.7,483.9,LLG,3,3,0
-1.1,476.1,-475.9,3974.1,4041.4,3782.8,LLL,4,4,1
60.9,9564.1,-9506.3,532.5,513.8,511.5,NO,0,0,0
42.1,9400.6,-9569.9,507.7,508.9,488.6,NO,0,0,0
-3.3,956.7,-9627.0,2853.6,2501.9,485.2,LLG,3,3,0
19.1,9513.7,-9511.1,488.2,494.3,505.1,NO,0,0,0
4.8,942.7,-9530.9,2939.0,2425.7,517.8,LLG,3,3,0
14.8,9483.2,-9579.6,500.0,540.6,494.7,NO,0,0,0
-1.6,478.0,-480.2,3984.9,4139.3,4052.7,LLL,4,4,1
0.3,94.7,-95.3,5194.1,4950.5,4794.9,LLLG,5,5,1
48.2,9568.8,-9537.9,533.6,525.0,459.1,NO,0,0,0
15.0,9522.0,-9501.3,483.1,515.1,497.8,NO,0,0,0
-4.6,9505.2,-9555.7,2682.8,488.4,488.9,LG,1,1,0
-1.0,94.2,-95.0,4845.2,5074.0,5075.1,LLLG,5,5,1
-63.9,9533.2,-9586.3,503.8,514.4,509.2,NO,0,0,0
6.5,9553.5,-9508.8,2417.9,551.3,491.3,LG,1,1,0
-23.5,2867.8,-9544.4,1917.3,1998.9,510.9,LL,2,2,0
-3.8,9454.5,-9511.4,2556.0,519.2,491.7,LG,1,1,0
0.5,94.9,-94.9,4768.6,4656.4,4766.2,LLLG,5,5,1
-20.8,9526.1,-9487.1,475.9,488.9,505.4,NO,0,0,0
2.9,475.2,-477.1,4087.4,4056.1,3981.1,LLL,4,4,1
-9.6,9526.4,-9473.6,513.2,511.1,502.9,NO,0,0,0
24.7,2867.5,-9553.3,1967.5,1898.0,494.7,LL,2,2,0
4.1,9528.4,-9558.6,2761.1,500.3,499.7,LG,1,1,0
4.2,2859.2,-9559.6,1919.1,1959.4,474.7,LL,2,2,0
7.5,9559.5,-9562.9,2609.7,506.0,493.6,LG,1,1,0
58.8,9524.5,-9514.9,504.4,526.3,505.3,NO,0,0,0
3.3,9539.0,-9574.5,2616.3,524.8,491.6,LG,1,1,0
2.4,2843.1,-9528.1,2014.5,2012.0,486.9,LL,2,2,0
-16.6,9637.2,-9518.8,514.3,497.6,488.3,NO,0,0,0
-5.1,9493.1,-9466.6,2456.2,529.9,556.0,LG,1,1,0
-13.8,2856.3,-9562.5,1976.6,1922.4,508.3,LL,2,2,0
1.8,956.3,-9557.9,3035.0,2539.1,467.9,LLG,3,3,0
39.7,9484.7,-9533.2,499.3,492.9,511.9,NO,0,0,0
5.3,474.0,-472.2,4077.4,3885.1,4234.1,LLL,4,4,1
-1.0,94.8,-94.7,4735.1,5306.5,5050.6,LLLG,5,5,1
-32.5,2852.2,-9569.4,1903.2,1950.9,569.3,LL,2,2,0
-5.1,476.3,-477.2,4302.2,3935.3,3883.6,LLL,4,4,1
1.4,476.6,-478.9,3894.0,3926.7,3824.7,LLL,4,4,1
-7.2,9528.1,-9488.5,2374.1,504.0,498.3,LG,1,1,0
-0.4,475.6,-480.0,4156.6,4164.7,4039.6,LLL,4,4,1
1.1,9542.5,-9594.0,514.9,518.1,515.2,NO,0,0,0
120.1,9536.9,-9583.5,496.9,525.2,493.1,NO,0,0,0
-7.2,9659.7,-9466.6,546.9,478.2,516.3,NO,0,0,0
6.0,2837.9,-9558.8,2078.1,2079.6,507.4,LL,2,2,0
-97.9,9460.1,-9498.7,524.5,492.9,534.0,NO,0,0,0
-57.2,9545.5,-9566.3,528.9,512.9,543.2,NO,0,0,0
0.8,474.8,-471.9,4008.8,3967.2,4150.7,LLL,4,4,1
96.0,9492.5,-9444.5,507.4,503.5,515.1,NO,0,0,0
-0.8,474.8,-471.1,4197.8,4013.0,3882.7,LLL,4,4,1
4.5,957.9,-9530.2,3041.0,2563.2,479.9,LLG,3,3,0
-0.5,476.7,-475.6,4333.2,3979.2,3708.8,LLL,4,4,1
-33.3,9568.9,-9646.1,511.0,510.3,530.1,NO,0,0,0
-0.8,9471.0,-9463.6,2552.0,494.5,473.4,LG,1,1,0
44.3,9532.8,-9567.3,497.8,501.5,535.9,NO,0,0,0
-3.2,9545.4,-9441.3,2508.1,490.0,531.2,LG,1,1,0
4.0,948.6,-9458.3,2988.3,2448.3,519.8,LLG,3,3,0
9.9,9514.8,-9528.0,532.0,453.1,512.9,NO,0,0,0
-24.4,9564.6,-9551.9,482.8,493.6,532.0,NO,0,0,0
-47.5,9480.1,-9523.0,483.1,513.8,507.2,NO,0,0,0
0.3,474.5,-478.7,4029.0,4068.1,3843.8,LLL,4,4,1
-2.6,478.5,-475.3,3918.4,4072.9,4104.5,LLL,4,4,1
3.4,483.1,-477.1,4198.2,3951.5,4332.7,LLL,4,4,1
2.7,946.1,-9574.6,3194.6,2568.9,505.1,LLG,3,3,0
-1.8,951.7,-9528.9,3225.4,2474.5,514.5,LLG,3,3,0
-1.8,474.3,-478.7,4048.5,4028.5,4091.8,LLL,4,4,1
-3.4,950.7,-9490.0,2970.9,2326.7,505.9,LLG,3,3,0
6.0,954.9,-9522.5,2908.8,2481.9,504.7,LLG,3,3,0
-45.3,9470.9,-9614.7,474.2,535.4,512.2,NO,0,0,0
-0.1,94.6,-95.2,4932.1,5110.0,4715.7,LLLG,5,5,1
-1.4,475.1,-473.3,4130.7,4042.5,4107.9,LLL,4,4,1
7.8,947.7,-9603.6,2842.6,2484.4,503.1,LLG,3,3,0
3.7,2873.1,-9501.3,2058.6,2077.0,512.1,LL,2,2,0
-38.3,9541.4,-9495.3,497.4,509.5,515.8,NO,0,0,0
3.5,478.1,-474.6,4069.8,3818.0,4026.1,LLL,4,4,1
18.4,2864.9,-9484.8,1881.9,1967.4,488.7,LL,2,2,0
-2.2,479.0,-473.4,3850.4,4229.9,4000.0,LLL,4,4,1
0.3,95.1,-94.4,5094.0,5025.9,5097.8,LLLG,5,5,1
-8.3,2855.5,-9621.7,1970.1,2035.7,500.9,LL,2,2,0
-0.0,94.8,-95.5,4720.7,5075.5,5044.1,LLLG,5,5,1
-20.6,9508.8,-9403.3,482.9,484.2,462.0,NO,0,0,0
11.2,9605.4,-9633.6,484.8,481.2,515.1,NO,0,0,0
-0.5,9513.6,-9494.7,508.8,509.7,518.4,NO,0,0,0
7.1,476.8,-475.3,3647.7,4135.6,4167.4,LLL,4,4,1
-5.6,950.5,-9488.6,3037.1,2378.2,523.3,LLG,3,3,0
3.1,953.6,-9528.3,3125.4,2663.3,509.3,LLG,3,3,0
-3.9,2874.0,-9430.6,1934.5,2125.5,528.9,LL,2,2,0
44.7,9541.9,-9521.2,512.2,455.1,498.9,NO,0,0,0
-2.2,952.2,-9538.9,2927.8,2600.8,490.6,LLG,3,3,0
0.0,477.6,-475.2,4201.6,3865.8,3940.3,LLL,4,4,1
7.5,2873.4,-9583.9,1945.8,2075.6,508.6,LL,2,2,0
-63.1,9511.8,-9530.3,492.1,529.3,528.0,NO,0,0,0
-6.5,961.2,-9515.7,3088.9,2520.5,504.7,LLG,3,3,0
-2.5,2849.1,-9522.8,1961.7,1917.2,506.5,LL,2,2,0
8.3,9514.9,-9458.0,2588.0,485.4,495.5,LG,1,1,0
-4.5,9456.9,-9553.0,503.1,505.0,488.9,NO,0,0,0
-6.7,957.7,-9580.2,3011.6,2508.8,491.7,LLG,3,3,0
-10.2,944.5,-9452.0,3040.8,2501.9,489.5,LLG,3,3,0
-4.8,2850.8,-9484.6,2070.9,1928.5,459.2,LL,2,2,0
-0.1,95.1,-95.6,4741.3,4931.5,4927.1,LLLG,5,5,1
1.1,2854.2,-9445.7,2001.7,1926.3,471.0,LL,2,2,0
-10.6,2889.3,-9556.4,2086.4,1885.3,509.2,LL,2,2,0
0.8,473.1,-475.8,3865.3,4253.9,3830.2,LLL,4,4,1
13.3,9569.5,-9546.0,468.9,506.5,529.1,NO,0,0,0
-2.1,2851.9,-9569.2,2091.4,2020.3,516.8,LL,2,2,0
0.8,478.7,-474.8,3830.3,3998.4,4054.8,LLL,4,4,1
-0.5,95.0,-95.3,5099.4,4754.7,5504.8,LLLG,5,5,1
5.5,951.3,-9563.4,3130.3,2419.6,473.4,LLG,3,3,0
-5.4,9508.8,-9519.0,2550.3,448.1,480.0,LG,1,1,0
0.3,95.3,-95.1,4878.8,5198.8,4879.4,LLLG,5,5,1
0.1,94.5,-94.8,4844.9,4959.0,5151.5,LLLG,5,5,1
0.5,475.5,-475.7,4261.6,3930.2,4139.2,LLL,4,4,1
-3.3,9532.8,-9571.4,2452.3,475.6,529.9,LG,1,1,0
3.1,479.4,-476.0,4214.0,3868.5,3833.3,LLL,4,4,1
1.0,478.8,-470.4,3742.1,4025.3,4129.5,LLL,4,4,1
1.1,94.9,-95.4,5392.0,4824.9,5236.2,LLLG,5,5,1
0.1,95.1,-95.0,4977.0,4725.5,5204.1,LLLG,5,5,1
30.0,9517.6,-9569.7,491.2,491.7,477.4,NO,0,0,0
0.4,953.8,-9527.2,3167.3,2429.0,507.1,LLG,3,3,0
71.5,9540.5,-9430.6,520.1,532.1,501.0,NO,0,0,0
2.5,473.7,-474.4,3948.1,3686.0,3995.9,LLL,4,4,1
-5.0,954.4,-9487.6,2955.2,2565.4,484.4,LLG,3,3,0
1.0,9490.0,-9510.5,2550.4,505.4,475.8,LG,1,1,0
-43.7,9623.4,-9463.0,504.2,487.0,487.9,NO,0,0,0
1.8,957.2,-9460.6,2970.6,2457.1,510.6,LLG,3,3,0
12.8,9603.4,-9512.0,522.1,508.8,491.4,NO,0,0,0
-12.4,9561.1,-9570.8,495.5,502.3,533.4,NO,0,0,0
-21.3,9514.9,-9490.0,508.7,508.6,551.4,NO,0,0,0
-3.9,951.4,-9493.1,2860.4,2458.6,510.1,LLG,3,3,0
-4.1,475.1,-479.3,3996.4,3820.8,3842.4,LLL,4,4,1
-0.1,95.5,-95.7,4962.1,5046.8,4906.3,LLLG,5,5,1
-20.6,9460.0,-9520.3,480.1,526.0,492.5,NO,0,0,0
15.7,9496.7,-9461.3,516.9,476.6,477.5,NO,0,0,0
0.4,9542.9,-9529.1,2497.0,498.6,519.3,LG,1,1,0
-10.2,9517.1,-9569.3,2567.9,485.3,542.5,LG,1,1,0
-13.9,9571.2,-9574.2,495.2,486.5,533.3,NO,0,0,0
62.9,9550.7,-9517.9,516.1,495.0,531.4,NO,0,0,0
1.4,476.4,-474.8,4436.7,4203.0,3874.2,LLL,4,4,1
0.1,95.4,-95.0,4824.9,5279.9,4969.2,LLLG,5,5,1
3.2,952.1,-9545.0,3050.3,2471.7,504.1,LLG,3,3,0
4.1,2854.2,-9530.4,2027.1,1842.8,484.4,LL,2,2,0
45.2,9563.4,-9475.3,523.7,497.4,512.0,NO,0,0,0
-90.0,9487.4,-9492.0,525.1,487.1,507.2,NO,0,0,0
0.5,956.4,-9514.7,3213.0,2435.2,516.6,LLG,3,3,0
0.3,952.1,-9546.5,2972.9,2511.1,520.6,LLG,3,3,0
-6.1,477.4,-479.6,3998.7,3891.8,3834.2,LLL,4,4,1
-1.7,965.7,-9440.1,2915.1,2348.6,514.9,LLG,3,3,0
75.7,9582.1,-9479.9,524.8,514.3,523.9,NO,0,0,0
-1.6,473.8,-473.9,4108.6,4057.9,4008.8,LLL,4,4,1
30.2,2852.5,-9558.1,2005.2,2010.4,483.1,LL,2,2,0
-0.7,95.5,-94.9,5205.1,5205.9,5028.1,LLLG,5,5,1
0.4,94.5,-94.5,5258.1,4793.3,4970.7,LLLG,5,5,1
2.6,469.0,-475.6,4118.6,4284.5,4104.6,LLL,4,4,1
-0.7,94.8,-96.0,4776.1,5287.0,4686.0,LLLG,5,5,1
40.2,9453.0,-9576.3,500.7,503.2,500.1,NO,0,0,0
4.4,9455.1,-9583.6,2432.7,477.1,493.4,LG,1,1,0
-5.4,474.8,-478.6,3981.2,4161.6,4215.2,LLL,4,4,1
-2.2,471.5,-476.5,4053.9,4135.7,3668.3,LLL,4,4,1
7.8,9473.3,-9509.8,2549.3,516.0,507.1,LG,1,1,0
60.8,9466.1,-9472.9,477.9,484.2,498.2,NO,0,0,0
-1.2,476.7,-476.7,3907.0,4116.0,4321.6,LLL,4,4,1
3.9,479.9,-476.6,4093.2,3849.3,3912.1,LLL,4,4,1
-49.8,9493.0,-9531.3,493.5,491.2,497.2,NO,0,0,0
4.3,9529.6,-9390.4,2672.2,495.4,503.2,LG,1,1,0
-2.3,474.7,-478.0,4024.7,3703.1,4060.4,LLL,4,4,1
-3.2,946.1,-9465.3,2919.9,2561.8,469.4,LLG,3,3,0
-10.8,2856.5,-9569.0,2059.4,2058.6,488.1,LL,2,2,0
3.9,475.2,-478.5,4107.8,3901.6,4241.2,LLL,4,4,1
20.7,9564.2,-9582.9,484.1,511.3,459.5,NO,0,0,0
-13.1,960.8,-9505.0,2960.7,2388.4,480.7,LLG,3,3,0
